"","subid","gen","eth","ell","sped","att","ell2","ellc","riskC","risk2","grade","read"
"1",1,"F","Afr",0,"N",0.94,"No",-1,"DADV","DADV",5,172
"2",1,"F","Afr",0,"N",0.94,"No",-1,"DADV","DADV",6,185
"3",1,"F","Afr",0,"N",0.94,"No",-1,"DADV","DADV",7,179
"4",1,"F","Afr",0,"N",0.94,"No",-1,"DADV","DADV",8,194
"5",2,"F","Afr",0,"N",0.91,"No",-1,"DADV","DADV",5,200
"6",2,"F","Afr",0,"N",0.91,"No",-1,"DADV","DADV",6,210
"7",2,"F","Afr",0,"N",0.91,"No",-1,"DADV","DADV",7,209
"8",2,"F","Afr",0,"N",0.91,"No",-1,"DADV","DADV",8,NA
"9",3,"M","Afr",0,"N",0.97,"No",-1,"DADV","DADV",5,191
"10",3,"M","Afr",0,"N",0.97,"No",-1,"DADV","DADV",6,199
"11",3,"M","Afr",0,"N",0.97,"No",-1,"DADV","DADV",7,203
"12",3,"M","Afr",0,"N",0.97,"No",-1,"DADV","DADV",8,215
"13",4,"F","Afr",0,"N",0.88,"No",-1,"DADV","DADV",5,200
"14",4,"F","Afr",0,"N",0.88,"No",-1,"DADV","DADV",6,195
"15",4,"F","Afr",0,"N",0.88,"No",-1,"DADV","DADV",7,194
"16",4,"F","Afr",0,"N",0.88,"No",-1,"DADV","DADV",8,NA
"17",5,"F","Afr",0,"N",0.85,"No",-1,"DADV","DADV",5,207
"18",5,"F","Afr",0,"N",0.85,"No",-1,"DADV","DADV",6,213
"19",5,"F","Afr",0,"N",0.85,"No",-1,"DADV","DADV",7,212
"20",5,"F","Afr",0,"N",0.85,"No",-1,"DADV","DADV",8,213
"21",6,"M","Afr",0,"N",0.9,"No",-1,"DADV","DADV",5,191
"22",6,"M","Afr",0,"N",0.9,"No",-1,"DADV","DADV",6,189
"23",6,"M","Afr",0,"N",0.9,"No",-1,"DADV","DADV",7,206
"24",6,"M","Afr",0,"N",0.9,"No",-1,"DADV","DADV",8,195
"25",7,"M","Afr",1,"N",0.97,"Yes",1,"DADV","DADV",5,199
"26",7,"M","Afr",1,"N",0.97,"Yes",1,"DADV","DADV",6,208
"27",7,"M","Afr",1,"N",0.97,"Yes",1,"DADV","DADV",7,213
"28",7,"M","Afr",1,"N",0.97,"Yes",1,"DADV","DADV",8,218
"29",8,"F","His",1,"Y",0.97,"Yes",1,"DADV","DADV",5,191
"30",8,"F","His",1,"Y",0.97,"Yes",1,"DADV","DADV",6,194
"31",8,"F","His",1,"Y",0.97,"Yes",1,"DADV","DADV",7,194
"32",8,"F","His",1,"Y",0.97,"Yes",1,"DADV","DADV",8,NA
"33",9,"F","Afr",0,"Y",0.97,"No",-1,"DADV","DADV",5,149
"34",9,"F","Afr",0,"Y",0.97,"No",-1,"DADV","DADV",6,154
"35",9,"F","Afr",0,"Y",0.97,"No",-1,"DADV","DADV",7,174
"36",9,"F","Afr",0,"Y",0.97,"No",-1,"DADV","DADV",8,177
"37",10,"F","Afr",0,"N",0.96,"No",-1,"DADV","DADV",5,200
"38",10,"F","Afr",0,"N",0.96,"No",-1,"DADV","DADV",6,212
"39",10,"F","Afr",0,"N",0.96,"No",-1,"DADV","DADV",7,213
"40",10,"F","Afr",0,"N",0.96,"No",-1,"DADV","DADV",8,NA
"41",11,"F","Whi",0,"N",0.98,"No",-1,"DADV","DADV",5,218
"42",11,"F","Whi",0,"N",0.98,"No",-1,"DADV","DADV",6,231
"43",11,"F","Whi",0,"N",0.98,"No",-1,"DADV","DADV",7,233
"44",11,"F","Whi",0,"N",0.98,"No",-1,"DADV","DADV",8,239
"45",12,"F","Whi",0,"Y",0.96,"No",-1,"DADV","DADV",5,228
"46",12,"F","Whi",0,"Y",0.96,"No",-1,"DADV","DADV",6,232
"47",12,"F","Whi",0,"Y",0.96,"No",-1,"DADV","DADV",7,248
"48",12,"F","Whi",0,"Y",0.96,"No",-1,"DADV","DADV",8,246
"49",13,"F","Whi",0,"N",0.99,"No",-1,"ADV","ADV",5,228
"50",13,"F","Whi",0,"N",0.99,"No",-1,"ADV","ADV",6,236
"51",13,"F","Whi",0,"N",0.99,"No",-1,"ADV","ADV",7,228
"52",13,"F","Whi",0,"N",0.99,"No",-1,"ADV","ADV",8,239
"53",14,"M","Afr",1,"N",0.99,"Yes",1,"ADV","ADV",5,199
"54",14,"M","Afr",1,"N",0.99,"Yes",1,"ADV","ADV",6,210
"55",14,"M","Afr",1,"N",0.99,"Yes",1,"ADV","ADV",7,225
"56",14,"M","Afr",1,"N",0.99,"Yes",1,"ADV","ADV",8,235
"57",15,"F","Whi",0,"N",1,"No",-1,"ADV","ADV",5,218
"58",15,"F","Whi",0,"N",1,"No",-1,"ADV","ADV",6,223
"59",15,"F","Whi",0,"N",1,"No",-1,"ADV","ADV",7,236
"60",15,"F","Whi",0,"N",1,"No",-1,"ADV","ADV",8,NA
"61",16,"M","Whi",0,"N",0.97,"No",-1,"ADV","ADV",5,228
"62",16,"M","Whi",0,"N",0.97,"No",-1,"ADV","ADV",6,226
"63",16,"M","Whi",0,"N",0.97,"No",-1,"ADV","ADV",7,234
"64",16,"M","Whi",0,"N",0.97,"No",-1,"ADV","ADV",8,227
"65",17,"M","Whi",0,"N",0.98,"No",-1,"ADV","ADV",5,201
"66",17,"M","Whi",0,"N",0.98,"No",-1,"ADV","ADV",6,210
"67",17,"M","Whi",0,"N",0.98,"No",-1,"ADV","ADV",7,208
"68",17,"M","Whi",0,"N",0.98,"No",-1,"ADV","ADV",8,219
"69",18,"M","Whi",0,"N",1,"No",-1,"ADV","ADV",5,218
"70",18,"M","Whi",0,"N",1,"No",-1,"ADV","ADV",6,220
"71",18,"M","Whi",0,"N",1,"No",-1,"ADV","ADV",7,217
"72",18,"M","Whi",0,"N",1,"No",-1,"ADV","ADV",8,221
"73",19,"F","Whi",0,"N",0.96,"No",-1,"ADV","ADV",5,215
"74",19,"F","Whi",0,"N",0.96,"No",-1,"ADV","ADV",6,216
"75",19,"F","Whi",0,"N",0.96,"No",-1,"ADV","ADV",7,221
"76",19,"F","Whi",0,"N",0.96,"No",-1,"ADV","ADV",8,NA
"77",20,"F","Afr",0,"N",0.95,"No",-1,"ADV","ADV",5,204
"78",20,"F","Afr",0,"N",0.95,"No",-1,"ADV","ADV",6,215
"79",20,"F","Afr",0,"N",0.95,"No",-1,"ADV","ADV",7,219
"80",20,"F","Afr",0,"N",0.95,"No",-1,"ADV","ADV",8,214
"81",21,"M","Whi",0,"N",0.98,"No",-1,"ADV","ADV",5,237
"82",21,"M","Whi",0,"N",0.98,"No",-1,"ADV","ADV",6,241
"83",21,"M","Whi",0,"N",0.98,"No",-1,"ADV","ADV",7,243
"84",21,"M","Whi",0,"N",0.98,"No",-1,"ADV","ADV",8,NA
"85",22,"F","Afr",0,"N",0.96,"No",-1,"ADV","ADV",5,219
"86",22,"F","Afr",0,"N",0.96,"No",-1,"ADV","ADV",6,233
"87",22,"F","Afr",0,"N",0.96,"No",-1,"ADV","ADV",7,236
"88",22,"F","Afr",0,"N",0.96,"No",-1,"ADV","ADV",8,NA
